fid,DN,ZS_Coastlinecount,ZS_Coastlinesum,ZS_Coastlinemean
"1","2",0.937890000094806,2055.74500277096,2191.8828461367
"2","2",0.937890000081199,2161.5632546496,2304.70871260219
"4","2",6,12606.3356933594,2101.05594889323
"5","2",1.87578000019156,3412.03719097808,1818.99646580603
"7","2",2,3749.62023925781,1874.81011962891
"10","2",0.937890000094806,1879.20668299143,2003.65360842047
"15","2",0.93789000009675,1738.00871369863,1853.10506937844
"16","2",0.93789000009675,1832.10755197957,1953.43542610602
"24","2",0.937890000079256,2232.74923905415,2380.60885483956
"25","2",0.937890000079256,2279.63368683051,2430.5981369221
"26","2",2,4262.63037109375,2131.31518554688
"27","2",0.93789000009675,2044.52303098671,2179.91772038917
"28","2",2,4539.70068359375,2269.85034179688
"32","2",3,6614.59423828125,2204.86474609375
"33","2",31,252580.020507812,8147.74259702621
"36","2",2,3099.85522460938,1549.92761230469
"38","2",3,6653.53930664062,2217.84643554688
"39","2",0.93789000009675,1577.66095604736,1682.13858329294
"42","2",0.937890000081199,1415.70199875145,1509.45419892406
"44","2",2,4371.7216796875,2185.86083984375
"45","2",9,20688.6713867188,2298.74126519097
"52","2",4,5485.98828125,1371.4970703125
"53","2",0.93789000009675,1456.12764253112,1552.55695484642
"54","2",0.937890000094806,1619.54911959226,1726.80071162775
"56","2",9,14876.7272949219,1652.96969943576
"58","2",0.937890000081199,2808.86662464445,2994.87852989291
"62","2",2,2842.26184082031,1421.13092041016
"63","2",0.93789000009675,1384.71217336101,1476.41213065303
"66","2",2,5643.14819335938,2821.57409667969
"68","2",5,16529.1000976562,3305.82001953125
"71","2",0.93789000009675,1677.95875272105,1789.07841276478
"73","2",0.93789000009675,1454.73410969934,1551.07113792585
"78","2",3,3561.35327148438,1187.11775716146
"79","2",0.937890000079256,2456.45199472051,2619.12590443755
"82","2",0.937890000094806,2976.03525768353,3173.11759095704
"87","2",9,15079.8569335938,1675.53965928819
"88","2",3,8932.60620117188,2977.53540039062
"89","2",2,2399.44116210938,1199.72058105469
"90","2",0.93789000009675,1488.69771164062,1587.28391547734
"92","2",2,5291.46313476562,2645.73156738281
"97","2",0.937890000079256,2419.69520866649,2579.9349694122
"100","2",21,50935.3259277344,2425.49171084449
"101","2",2,2529.12573242188,1264.56286621094
"104","2",2,3191.74267578125,1595.87133789062
"105","2",0.937890000081199,1642.68562468586,1751.4693882477
"106","2",2,4476.32397460938,2238.16198730469
